,Customer ID,Age,Gender,Item Purchased,Category,Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Payment Method,Frequency of Purchases,Date,IQR_Purchase Amount (USD),IQR_Previous Purchases
18,19,52.0,Male,Sweater,Clothing,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,Yes,Cash,Weekly,2020-01-06 01:19:24.298538086,48.0,17.0
19,20,66.0,Male,Pants,Clothing,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,Yes,Debit Card,Bi-Weekly,2020-01-06 01:19:24.298538086,90.0,46.0
20,21,21.0,Male,Pants,Clothing,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,Yes,Cash,Every 3 Months,2020-01-06 14:48:13.665042318,51.0,50.0
21,22,31.0,Not Specified,Pants,Clothing,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,Debit Card,Quarterly,2020-01-06 14:48:13.665042318,62.0,22.0
22,23,56.0,Male,Pants,Clothing,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,Debit Card,Annually,2020-01-07 04:17:03.031546550,66.86180836707152,32.0
23,24,31.0,Male,Pants,Clothing,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,Yes,Credit Card,Weekly,2020-01-07 11:01:27.714798666,66.86180836707152,40.0
24,25,18.0,Male,Jacket,Outerwear,Idaho,M,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,Debit Card,Weekly,2020-01-07 17:45:52.398050782,22.0,16.0
25,26,18.0,Male,Hoodie,Clothing,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,Yes,PayPal,Annually,2020-01-08 00:30:17.081302898,25.0,14.0
26,27,38.0,Male,Jewelry,Accessories,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,Credit Card,Annually,2020-01-08 07:14:41.764555014,20.0,13.0
27,28,56.0,Male,Shorts,Clothing,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,Yes,Bank Transfer,Every 3 Months,2020-01-08 13:59:06.447807130,56.0,7.0
28,29,54.0,Male,Handbag,Accessories,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,PayPal,Every 3 Months,2020-01-08 20:43:31.131059245,94.0,41.0
29,30,31.0,Male,Dress,Clothing,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,Credit Card,Weekly,2020-01-09 03:27:55.814311361,48.0,14.0
30,31,57.0,Male,Jewelry,Accessories,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,Yes,Credit Card,Monthly,2020-01-09 10:12:20.497563477,31.0,16.0
31,32,33.0,Male,Dress,Clothing,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,Venmo,Monthly,2020-01-09 16:56:45.180815593,79.0,45.0
32,33,44.022402159244265,Male,Jacket,Outerwear,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,Venmo,Annually,2020-01-09 23:41:09.864067709,67.0,37.0
33,34,54.0,Male,Pants,Clothing,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,Yes,Cash,Quarterly,2020-01-10 06:25:34.547319825,38.0,37.5
34,35,36.0,Male,T-shirt,Clothing,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,PayPal,Quarterly,2020-01-10 13:09:59.230571941,91.0,38.0
35,36,54.0,Male,Blouse,Clothing,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,Yes,Credit Card,Bi-Weekly,2020-01-10 19:54:23.913824057,33.0,48.0
36,37,35.0,Male,T-shirt,Clothing,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,PayPal,Fortnightly,2020-01-11 02:38:48.597076173,69.0,44.0
37,38,35.0,Male,Jeans,Clothing,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,PayPal,Weekly,2020-01-11 09:23:13.280328289,66.86180836707152,10.0
38,39,29.0,Male,Dress,Clothing,Florida,M,Red,Winter,3.7,Yes,2-Day Shipping,Yes,Yes,Venmo,Every 3 Months,2020-01-11 09:23:13.280328289,37.0,44.0
39,40,70.0,Male,Pants,Clothing,Idaho,S,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,Credit Card,Monthly,2020-01-11 22:52:02.646832521,60.0,18.0
40,41,69.0,Male,Handbag,Accessories,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,Yes,Debit Card,Quarterly,2020-01-12 05:36:27.330084637,76.0,31.0
41,42,67.0,Male,Scarf,Accessories,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,Yes,Venmo,Annually,2020-01-12 12:20:52.013336753,39.0,40.0
42,43,20.0,Male,Coat,Outerwear,Idaho,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,Yes,PayPal,Annually,2020-01-12 19:05:16.696588868,100.0,15.0
43,44,25.0,Male,Scarf,Accessories,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,PayPal,Fortnightly,2020-01-13 01:49:41.379840984,69.0,19.0
44,45,39.0,Male,Hat,Accessories,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,PayPal,Weekly,2020-01-13 01:49:41.379840984,53.0,22.0
45,46,50.0,Male,Socks,Clothing,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,PayPal,Annually,2020-01-13 15:18:30.746345216,21.0,25.0
46,47,57.0,Male,Shirt,Clothing,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,Cash,Quarterly,2020-01-13 22:02:55.429597332,66.86180836707152,45.0
47,48,55.0,Male,Jewelry,Accessories,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,Yes,Cash,Weekly,2020-01-14 04:47:20.112849448,62.0,36.0
48,49,42.0,Male,Shirt,Clothing,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,Yes,Cash,Monthly,2020-01-14 11:31:44.796101564,55.0,38.0
49,50,68.0,Male,Hoodie,Clothing,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,Yes,Debit Card,Bi-Weekly,2020-01-14 18:16:09.479353680,30.0,38.5
50,51,49.0,Male,Blouse,Clothing,Maryland,M,Red,Spring,3.7,Yes,Store Pickup,Yes,Yes,Debit Card,Bi-Weekly,2020-01-15 01:00:34.162605796,28.0,39.0
51,52,59.0,Male,Skirt,Clothing,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,Credit Card,Quarterly,2020-01-15 07:44:58.845857912,59.0,7.0
52,53,42.0,Male,T-shirt,Clothing,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,Yes,Credit Card,Weekly,2020-01-15 14:29:23.529110028,20.0,26.0
53,54,29.0,Not Specified,Skirt,Clothing,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,Yes,Credit Card,Weekly,2020-01-15 21:13:48.212362144,24.0,35.0
54,55,47.0,Male,Coat,Outerwear,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,Debit Card,Bi-Weekly,2020-01-16 03:58:12.895614260,94.0,35.0
55,56,40.0,Male,Jacket,Outerwear,South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,Yes,Yes,Credit Card,Annually,2020-01-16 10:42:37.578866376,28.0,49.0
56,57,41.0,Male,Backpack,Accessories,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,Credit Card,Weekly,2020-01-16 17:27:02.262118491,73.0,46.0
57,58,21.0,Male,Coat,Outerwear,Idaho,M,White,Summer,4.4,Yes,Store Pickup,Yes,Yes,Debit Card,Fortnightly,2020-01-17 00:11:26.945370607,64.0,17.0
58,59,69.0,Male,Hoodie,Clothing,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,Yes,Venmo,Monthly,2020-01-17 06:55:51.628622723,54.0,29.0
59,60,63.0,Male,Belt,Accessories,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,Yes,Debit Card,Weekly,2020-01-17 13:40:16.311874839,79.0,4.0
60,61,50.0,Not Specified,Sweater,Clothing,Idaho,L,Brown,Summer,4.0,Yes,Express,Yes,Yes,Cash,Weekly,2020-01-17 20:24:40.995126955,37.0,17.0
61,62,55.0,Male,Scarf,Accessories,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,Yes,Credit Card,Every 3 Months,2020-01-18 03:09:05.678379071,68.0,21.0
62,63,30.0,Male,Sneakers,Footwear,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,Yes,Credit Card,Fortnightly,2020-01-18 09:53:30.361631187,21.0,31.0
63,64,33.0,Male,Sunglasses,Accessories,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,Credit Card,Weekly,2020-01-18 16:37:55.044883303,62.0,43.0
64,65,65.0,Male,Boots,Footwear,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,Yes,Debit Card,Fortnightly,2020-01-18 23:22:19.728135419,83.0,18.0
65,66,65.0,Male,Backpack,Accessories,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,Venmo,Every 3 Months,2020-01-19 06:06:44.411387535,66.86180836707152,44.0
66,67,31.0,Male,Blouse,Clothing,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,Venmo,Every 3 Months,2020-01-19 12:51:09.094639651,94.0,3.0
67,68,45.0,Male,Coat,Outerwear,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,Debit Card,Monthly,2020-01-19 19:35:33.777891767,33.0,12.0
68,69,57.0,Male,Handbag,Accessories,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,Yes,Cash,Every 3 Months,2020-01-20 02:19:58.461143883,62.0,21.0
69,70,48.0,Not Specified,Belt,Accessories,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,Yes,Cash,Weekly,2020-01-20 09:04:23.144395999,70.0,25.0
70,71,44.022402159244265,Male,Belt,Accessories,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,Yes,Debit Card,Every 3 Months,2020-01-20 15:48:47.827648114,29.0,32.0
71,72,36.0,Male,Dress,Clothing,Virginia,L,Gold,Summer,2.9,Yes,Express,Yes,Yes,Bank Transfer,Annually,2020-01-20 22:33:12.510900230,48.0,34.0
72,73,18.0,Male,Dress,Clothing,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,Yes,Bank Transfer,Every 3 Months,2020-01-21 05:17:37.194152346,26.0,21.0
73,74,48.0,Male,Pants,Clothing,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,Yes,Bank Transfer,Bi-Weekly,2020-01-21 12:02:01.877404462,85.0,43.0
74,75,49.0,Male,Gloves,Accessories,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,Yes,Cash,Monthly,2020-01-21 18:46:26.560656578,58.0,3.0
75,76,64.0,Male,Scarf,Accessories,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,Yes,Credit Card,Annually,2020-01-22 01:30:51.243908694,85.0,21.0
76,77,50.0,Male,Hat,Accessories,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,Yes,Venmo,Monthly,2020-01-22 08:15:15.927160810,43.0,32.0
77,78,22.0,Male,Dress,Clothing,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,Yes,Debit Card,Fortnightly,2020-01-22 14:59:40.610412926,53.0,36.0
78,79,50.0,Male,Skirt,Clothing,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,Yes,Venmo,Fortnightly,2020-01-22 21:44:05.293665042,91.0,50.0
79,80,38.0,Male,Jacket,Outerwear,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,Bank Transfer,Every 3 Months,2020-01-23 04:28:29.976917158,96.0,43.0
80,81,19.0,Male,Sandals,Footwear,Idaho,XL,Blue,Summer,3.3,Yes,Store Pickup,Yes,Yes,Credit Card,Every 3 Months,2020-01-23 11:12:54.660169274,72.0,24.0
81,82,67.0,Male,Shoes,Footwear,Virginia,L,Maroon,Summer,2.6,Yes,Express,Yes,Yes,Credit Card,Every 3 Months,2020-01-23 17:57:19.343421390,96.0,36.0
82,83,19.0,Male,Pants,Clothing,Georgia,S,Olive,Spring,4.0,Yes,2-Day Shipping,Yes,Yes,Credit Card,Every 3 Months,2020-01-24 00:41:44.026673506,28.0,21.0
83,84,36.0,Male,Dress,Clothing,Texas,M,Turquoise,Summer,4.1,Yes,Standard,Yes,Yes,Bank Transfer,Weekly,2020-01-24 07:26:08.709925621,40.0,34.0
84,85,52.0,Male,Coat,Outerwear,Arizona,S,Peach,Spring,4.4,Yes,Standard,Yes,Yes,Bank Transfer,Every 3 Months,2020-01-24 14:10:33.393177737,32.0,42.0
85,86,53.0,Male,Sunglasses,Accessories,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,Yes,Debit Card,Bi-Weekly,2020-01-24 20:54:58.076429853,95.0,2.0
86,87,24.0,Male,Hoodie,Clothing,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,Cash,Bi-Weekly,2020-01-25 03:39:22.759681969,41.0,47.0
87,88,52.0,Male,Shoes,Footwear,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,Debit Card,Fortnightly,2020-01-25 10:23:47.442934085,53.0,44.0
88,89,33.0,Male,T-shirt,Clothing,Wyoming,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,Yes,Credit Card,Monthly,2020-01-25 17:08:12.126186201,47.0,35.0
89,90,47.0,Male,Jacket,Outerwear,California,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,Yes,Cash,Quarterly,2020-01-25 23:52:36.809438317,83.0,15.0
90,91,25.0,Male,Hat,Accessories,South Carolina,L,Violet,Summer,2.9,Yes,Express,Yes,Yes,Credit Card,Monthly,2020-01-26 06:37:01.492690433,48.0,29.0
91,92,44.0,Male,Scarf,Accessories,South Carolina,S,Green,Winter,4.6,Yes,Standard,Yes,Yes,Credit Card,Every 3 Months,2020-01-26 06:37:01.492690433,99.0,18.0
92,93,61.0,Male,Jacket,Outerwear,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,Venmo,Every 3 Months,2020-01-26 20:05:50.859194665,87.0,13.0
93,94,44.022402159244265,Not Specified,Sweater,Clothing,Idaho,M,Purple,Fall,4.5,Yes,Standard,Yes,Yes,Credit Card,Weekly,2020-01-27 02:50:15.542446781,62.0,46.0
94,95,58.0,Male,Skirt,Clothing,Nevada,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,Yes,Credit Card,Weekly,2020-01-27 09:34:40.225698897,76.0,28.0
95,96,37.0,Male,Sneakers,Footwear,Missouri,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,Yes,PayPal,Monthly,2020-01-27 16:19:04.908951013,66.86180836707152,48.0
96,97,32.0,Male,Gloves,Accessories,Delaware,S,Gold,Spring,3.6,Yes,Express,Yes,Yes,Venmo,Every 3 Months,2020-01-27 16:19:04.908951013,73.0,25.0
97,98,21.0,Male,Shoes,Footwear,Virginia,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,Yes,Cash,Annually,2020-01-28 05:47:54.275455245,92.0,25.0
98,99,20.0,Male,Jeans,Clothing,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,Yes,Bank Transfer,Annually,2020-01-28 05:47:54.275455245,67.0,20.0
99,100,26.0,Not Specified,Hoodie,Clothing,Missouri,XL,Indigo,Summer,3.7,Yes,Express,Yes,Yes,Debit Card,Quarterly,2020-01-28 05:47:54.275455245,40.0,33.0
100,101,62.0,Male,Sunglasses,Accessories,Idaho,M,Maroon,Fall,2.7,Yes,Express,Yes,Yes,Cash,Fortnightly,2020-01-29 02:01:08.325211592,98.0,31.0
101,102,27.0,Male,Coat,Outerwear,North Dakota,XL,White,Spring,4.6,Yes,Express,Yes,Yes,Credit Card,Bi-Weekly,2020-01-29 08:45:33.008463708,62.0,33.0
102,103,51.0,Male,Socks,Clothing,Oklahoma,L,Violet,Winter,4.8,Yes,Next Day Air,Yes,Yes,Credit Card,Quarterly,2020-01-29 15:29:57.691715824,67.0,35.0
103,104,54.0,Male,Boots,Footwear,Idaho,L,Red,Winter,4.0,Yes,Next Day Air,Yes,Yes,Venmo,Bi-Weekly,2020-01-29 22:14:22.374967940,89.0,22.0
104,105,55.0,Male,Sunglasses,Accessories,New Hampshire,L,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,Yes,PayPal,Monthly,2020-01-30 04:58:47.058220056,24.0,1.0
105,106,69.0,Male,Backpack,Accessories,New York,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,Bank Transfer,Annually,2020-01-30 11:43:11.741472172,96.0,4.0
106,107,64.0,Male,Jacket,Outerwear,Minnesota,L,White,Summer,3.7,Yes,Standard,Yes,Yes,Credit Card,Monthly,2020-01-30 18:27:36.424724288,35.0,31.0
107,108,28.0,Male,Sneakers,Footwear,Maryland,L,Olive,Winter,3.1,Yes,Next Day Air,Yes,Yes,PayPal,Fortnightly,2020-01-31 01:12:01.107976404,62.0,46.0
108,109,70.0,Male,Socks,Clothing,Montana,L,Purple,Spring,3.4,Yes,Next Day Air,Yes,Yes,Bank Transfer,Bi-Weekly,2020-01-31 07:56:25.791228520,79.0,32.0
109,110,58.0,Male,T-shirt,Clothing,Alabama,M,Violet,Spring,2.6,Yes,Next Day Air,Yes,Yes,Bank Transfer,Fortnightly,2020-01-31 14:40:50.474480636,85.0,43.0
110,111,56.0,Male,Backpack,Accessories,New York,M,Black,Summer,4.0,Yes,Standard,Yes,Yes,Venmo,Fortnightly,2020-01-31 21:25:15.157732752,26.0,26.0
111,112,26.0,Male,Belt,Accessories,Massachusetts,L,Purple,Summer,5.0,Yes,Free Shipping,Yes,Yes,Credit Card,Annually,2020-02-01 04:09:39.840984868,75.0,9.0
112,113,37.0,Male,Gloves,Accessories,Florida,M,Red,Spring,4.3,Yes,Free Shipping,Yes,Yes,PayPal,Bi-Weekly,2020-02-01 10:54:04.524236983,65.0,28.0
113,114,44.0,Male,Hat,Accessories,New Jersey,L,Maroon,Winter,3.1,Yes,Next Day Air,Yes,Yes,PayPal,Quarterly,2020-02-01 17:38:29.207489099,62.0,20.0
114,115,70.0,Male,Coat,Outerwear,Massachusetts,S,Blue,Summer,3.7,Yes,Store Pickup,Yes,Yes,Cash,Weekly,2020-02-02 00:22:53.890741215,95.0,9.0
115,116,53.0,Male,Skirt,Clothing,Wyoming,M,Gray,Spring,3.8,Yes,Standard,Yes,Yes,Debit Card,Every 3 Months,2020-02-02 07:07:18.573993331,94.0,48.0
116,117,55.0,Male,Shoes,Footwear,Virginia,S,Blue,Spring,3.4,Yes,Free Shipping,Yes,Yes,Venmo,Annually,2020-02-02 13:51:43.257245447,86.0,12.0
117,118,50.0,Male,Sandals,Footwear,South Dakota,L,Yellow,Summer,4.6,Yes,Express,Yes,Yes,Cash,Fortnightly,2020-02-02 20:36:07.940497563,32.0,29.0
118,119,50.0,Male,Sweater,Clothing,Kentucky,L,Orange,Fall,4.8,Yes,2-Day Shipping,Yes,Yes,Cash,Bi-Weekly,2020-02-03 03:20:32.623749679,45.0,25.0
119,120,38.0,Male,Coat,Outerwear,Wyoming,M,Orange,Fall,4.3,Yes,Express,Yes,Yes,Cash,Annually,2020-02-03 10:04:57.307001795,76.0,25.0
120,121,44.022402159244265,Male,Hat,Accessories,West Virginia,L,Red,Summer,4.0,Yes,Express,Yes,Yes,Bank Transfer,Annually,2020-02-03 16:49:21.990253911,62.0,32.0
121,122,19.0,Male,Shorts,Clothing,Virginia,M,Olive,Winter,4.2,Yes,Standard,Yes,Yes,Cash,Fortnightly,2020-02-03 23:33:46.673506027,72.0,11.0
122,123,40.0,Male,Backpack,Accessories,Washington,L,Brown,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,Cash,Fortnightly,2020-02-04 06:18:11.356758143,40.0,44.0
123,124,57.0,Male,Sweater,Clothing,Louisiana,L,Brown,Fall,3.1,Yes,Free Shipping,Yes,Yes,Cash,Weekly,2020-02-04 13:02:36.040010259,89.0,46.0
124,125,44.0,Male,Sweater,Clothing,Nevada,M,Gray,Spring,3.1,Yes,Next Day Air,Yes,Yes,PayPal,Annually,2020-02-04 19:47:00.723262375,86.0,50.0
125,126,49.0,Male,Shorts,Clothing,California,M,Indigo,Winter,3.6,Yes,Next Day Air,Yes,Yes,Venmo,Every 3 Months,2020-02-05 02:31:25.406514490,54.0,45.0
126,127,43.0,Male,Shorts,Clothing,Idaho,L,Pink,Spring,3.9,Yes,Store Pickup,Yes,Yes,Cash,Every 3 Months,2020-02-05 09:15:50.089766606,36.0,48.0
127,128,24.0,Male,Sweater,Clothing,Mississippi,M,Gray,Winter,4.8,Yes,Next Day Air,Yes,Yes,Credit Card,Weekly,2020-02-05 16:00:14.773018722,89.0,26.0
128,129,20.0,Not Specified,Scarf,Accessories,California,M,Gold,Spring,4.7,Yes,Standard,Yes,Yes,Credit Card,Fortnightly,2020-02-05 22:44:39.456270838,32.0,21.0
129,130,24.0,Not Specified,Dress,Clothing,Pennsylvania,XL,Olive,Summer,4.2,Yes,2-Day Shipping,Yes,Yes,PayPal,Bi-Weekly,2020-02-06 05:29:04.139522954,67.0,49.0
130,131,44.0,Male,Scarf,Accessories,Kentucky,L,Violet,Fall,3.7,Yes,Next Day Air,Yes,Yes,PayPal,Fortnightly,2020-02-06 12:13:28.822775070,39.0,13.0
131,132,28.0,Male,Skirt,Clothing,Maine,L,Indigo,Summer,3.9,Yes,Standard,Yes,Yes,Credit Card,Weekly,2020-02-06 18:57:53.506027186,29.0,46.0
132,133,30.0,Male,Backpack,Accessories,New Mexico,M,Orange,Fall,4.7,Yes,2-Day Shipping,Yes,Yes,PayPal,Weekly,2020-02-07 01:42:18.189279302,66.86180836707152,42.0
133,134,52.0,Male,Sweater,Clothing,Montana,M,Violet,Winter,2.5,Yes,Next Day Air,Yes,Yes,Venmo,Annually,2020-02-07 08:26:42.872531418,65.0,25.0
134,135,43.0,Male,Hat,Accessories,Texas,L,Gray,Fall,4.9,Yes,Store Pickup,Yes,Yes,Cash,Monthly,2020-02-07 15:11:07.555783534,94.0,25.0
135,136,43.0,Male,Sandals,Footwear,Kansas,M,Purple,Fall,4.1,Yes,Express,Yes,Yes,PayPal,Quarterly,2020-02-07 21:55:32.239035650,81.0,12.0
136,137,39.0,Male,Blouse,Clothing,South Carolina,M,White,Winter,3.3,Yes,Free Shipping,Yes,Yes,Debit Card,Quarterly,2020-02-08 04:39:56.922287766,86.0,4.0
137,138,68.0,Male,Sneakers,Footwear,Colorado,M,Turquoise,Spring,4.7,Yes,Free Shipping,Yes,Yes,PayPal,Weekly,2020-02-08 11:24:21.605539882,43.0,38.0
138,139,68.0,Male,Skirt,Clothing,Georgia,M,Maroon,Winter,4.4,Yes,Store Pickup,Yes,Yes,Bank Transfer,Weekly,2020-02-08 18:08:46.288791998,29.0,42.0
139,140,49.0,Not Specified,Coat,Outerwear,Florida,M,White,Fall,3.8,Yes,Store Pickup,Yes,Yes,Venmo,Annually,2020-02-09 00:53:10.972044113,95.0,30.0
140,141,63.0,Male,Shirt,Clothing,North Carolina,L,Yellow,Fall,3.9,Yes,2-Day Shipping,Yes,Yes,Credit Card,Weekly,2020-02-09 07:37:35.655296229,28.0,50.0
141,142,56.0,Male,Gloves,Accessories,Virginia,M,Turquoise,Fall,4.9,Yes,Free Shipping,Yes,Yes,PayPal,Weekly,2020-02-09 14:22:00.338548345,66.86180836707152,45.0
142,143,37.0,Male,Jacket,Outerwear,Nebraska,L,Violet,Fall,3.1,Yes,Free Shipping,Yes,Yes,Credit Card,Fortnightly,2020-02-09 21:06:25.021800461,58.0,33.0
